Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
456,Soyo,AO,76.33,-6.1349,12.3689,Hospedaria ndozi'ame
457,Llano De Piedra,PA,75.9,7.6667,-80.5667,
458,Puerto Cabello,VE,79.86,10.4731,-68.0125,Las Palmeras
459,Key West,US,84.2,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
466,Mogadishu,SO,80.87,2.0371,45.3438,Hotel Juba
471,Abu Dhabi,AE,86.97,24.4667,54.3667,Beach Rotana
474,Mecca,SA,78.94,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
482,Tarpon Springs,US,75.97,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
483,Iralaya,HN,78.12,15.0,-83.2333,Iglesia morava renovada
488,Port Blair,IN,79.11,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
490,Juazeiro,BR,78.98,-9.4117,-40.4986,JB Hotel
494,Araioses,BR,76.66,-2.89,-41.9031,Pousada Vale do Magú
498,Saint-Leu,RE,76.06,-21.15,55.2833,La Caz Oceane
499,Maddur,IN,77.65,12.6,77.0667,Hotel Thimmadas Residency
504,Sur,OM,82.87,22.5667,59.5289,Sur Plaza Hotel
506,Natal,BR,75.85,-5.795,-35.2094,Villa Park Hotel | Natal
507,Binga,ZW,77.07,-17.6203,27.3414,Lakeview Inn Binga
508,La Asuncion,VE,79.45,11.0333,-63.8628,Colinas de Matasiete
521,Chimore,BO,77.63,-16.9833,-65.1333,Bichito
525,Dwarka,IN,82.78,22.2394,68.9678,Hotel Narayan Avezika Comfort
534,Barghat,IN,75.2,22.0333,79.7167,Malgudi Square
535,Andros Town,BS,76.96,24.7,-77.7667,CBH
541,Tutoia,BR,78.12,-2.7619,-42.2744,Pousada Guará's
548,Garowe,SO,75.4,8.4054,48.4845,Sacaada Hotel
551,Mocuba,MZ,78.28,-16.8392,36.9856,Phama Lodge
557,Kismayo,SO,80.94,-0.3582,42.5454,Agan-Hotel
558,Tucuma,BR,75.76,-0.1833,-50.05,
565,La Primavera,CO,77.29,5.4906,-70.4092,La Riviera Hotel Colonial
569,Conakry,GN,78.87,9.538,-13.6773,Riviera Royal Hotel
571,Bhuj,IN,83.41,23.2667,69.6667,Regenta Resort Bhuj
576,Sehithwa,BW,75.9,-20.4667,22.7167,MONLEK GUEST HOUSE
585,Merritt Island,US,76.03,28.5392,-80.672,
599,Eyl,SO,81.18,7.9803,49.8164,EYL AQUE SYSTEM
600,Hambantota,LK,81.63,6.1241,81.1185,Bungalow 63
604,Oussouye,SN,76.37,12.485,-16.5469,Auberge du Routard
609,Carupano,VE,77.09,10.6678,-63.2585,Hotel La dorada
613,Piacabucu,BR,75.13,-10.4056,-36.4344,Piaçabuçu News
620,Pedernales,DO,79.16,18.0384,-71.744,Hotel Costa Marina
626,Wajir,KE,78.6,1.7471,40.0573,Mahatallah Hotel
627,Pocosol,CR,75.29,10.3667,-84.6167,Heliconias Nature Inn
631,Kavaratti,IN,81.57,10.5669,72.642,Green leaf
637,San Andres,CO,84.22,12.5847,-81.7006,Hotel Arena Blanca
644,Wattegama,LK,83.75,6.7989,81.4808,
645,Manohar Thana,IN,79.18,24.24,76.8018,GEETA SADAN
650,Olinda,BR,78.53,-8.0089,-34.8553,Flat Quatro Rodas Olinda
651,Doha,QA,82.38,25.2867,51.5333,Mövenpick Doha
652,Mangrol,IN,83.53,21.1167,70.1167,Hotel The Royal Honours
653,Oriximina,BR,77.97,-1.7656,-55.8661,Pousada Tia Amélia
661,Caraballeda,VE,77.07,10.6112,-66.8522,Ole Caribe
663,Quelimane,MZ,80.8,-17.8786,36.8883,Hotel Flamingo
665,Toamasina,MG,75.29,-18.1667,49.3833,Hotel H1
